Priority,Area,Verification,Pass Criteria,Expected Evidence,Result,Notes
P0,Entry,"Confirm environment, feature flags, and test accounts are ready","Agentic BFF, Knowledge API, ingestion pipeline, orchestrator, file upload, review and publish, and Validate are available; admin and manager accounts are available",Environment readiness note or screenshot,Passed,"Run 20260502-210052 used QA BFF 9101, QA orchestrator 9601, ingestion 9608, Knowledge API 9609, org kb-file-e2e-20260502-210052, admin qa-kb-admin-20260502-210052@hki.com. Unit test suite and TypeScript check passed before browser QA."
P0,Value Stream,"Create a new value stream","New stream is created, visible in Admin, and manager assignment works if supported",Screenshot of Admin stream row,Passed,"Primary stream qa-kb-e2e-20260502-210052 was created for file upload QA. Empty isolation stream qa-kb-iso-20260502-210052 was created for leakage testing."
P0,Scoping,"Open the Knowledge Base for the new stream",Knowledge Base opens directly in the intended stream; URL includes stream context; stream name is visible in the UI,Screenshot of KB URL and stream badge,Passed,"Verified /knowledge?stream=qa-kb-e2e-20260502-210052 and /knowledge?stream=qa-kb-iso-20260502-210052 both showed the intended stream name."
P0,Ingest,"Upload the three prepared files through Add Content","All three files are accepted, visible in the intake review, approved for upload, and no file is silently dropped",Screenshot of upload review screen with all files,Passed,"Uploaded QA KB E2E 20260502-210052 Dispense Override SOP, Cold Chain Guide, and Returns Procedure."
P0,Processing,"Track uploaded files to a final state",Each file reaches Added and ready to use or Added and waiting for review; no small test file stays stuck beyond 10 minutes,Screenshot of final status for each file,Passed,"All three files completed processing and reached published/live searchable state."
P0,Library,"Verify Library search, metadata, and status labels",All three documents are discoverable in the current stream; statuses are visible and correct; document details show the correct stream assignment,Screenshot of Library results and one document detail view,Passed,"Library/overview showed 3 tracked documents before cleanup. Isolation stream library showed 0 docs and no Stream A documents."
P0,Review and Publish,"Complete the review and publish workflow, or send live docs back through review if needed",At least two documents successfully move through pending review or approved state into published state and are eligible to ground answers,Screenshot of review queue and published state,Passed,"Review queue showed all three uploaded documents LIVE/published."
P0,Overview,"Verify Overview metrics and rendering after refresh",Overview loads without repeated API failure; totals match the stream state; final run shows 3 tracked documents and no remaining processing docs,Screenshot of Overview with final counts,Passed,"Overview showed 3/3 searchable, 100% live, 0 pending, and 0 processing before cleanup. Non-blocking chart-size console warnings remain."
P1,Validate,"Ask the three planned Validate questions against the uploaded files","Validate returns the correct facts from the test data: ORBIT-4179, above 46F for more than 12 minutes, and 7:15 PM local time; evidence points to the correct file",Screenshot of Validate response with evidence,Passed,"Validate returned ORBIT-4179 from Dispense Override SOP, above 46F for more than 12 minutes and COLD-22 from Cold Chain Guide, and 7:15 PM local time from Returns Procedure."
P0,Agentic,"Ask the same three questions in live Agentic chat and one out-of-scope question",Live Agentic returns the correct facts with citations to the uploaded files; out-of-scope prompt does not invent a citation from the test files,Screenshot of grounded Agentic answer and out-of-scope response,Passed,"Scoped Chat returned the three golden facts with citations to the uploaded files. Out-of-scope DEA policy prompt did not fabricate the policy; it stated no specific DEA escalation policy was found and only cited nearby Returns Procedure evidence."
P0,Isolation,"Create a second empty stream and test for leakage","Second stream does not show Stream A documents, does not answer with ORBIT-4179, and does not cite Stream A files",Screenshot of second stream Library and chat response,Passed,"Isolation stream library showed 0 docs. Scoped Chat answer to QA-KB-ALPHA-001 did not contain ORBIT-4179 and said no matching document or emergency override code was found."
P1,Permissions,Optional viewer access restriction check,Viewer cannot perform manager-only KB workflows; behavior is deny access or read-only according to environment policy,Screenshot of restriction or read-only state,Not Run,"Deferred optional P1 viewer/manager restriction check; P0 file upload, retrieval, chat, isolation, and cleanup were completed."
P0,Cleanup,Delete or archive test content and remove both QA streams,No QA test streams remain after the run; no active test documents remain in the working Library views,Cleanup confirmation screenshot or note,Passed,"Deleted the three QA documents through auth-backed Knowledge API batch-delete and verified document total 0 for the QA stream. Removed both temporary value streams and scoped chat metadata from Agentic DB; valueStreams/userValueStreams/conversations remaining count is 0 for the QA stream ids."
P0,Release Gate,Final QA sign-off,"All P0 rows passed, no open P0 defects remain, and any open P1 items have an explicit owner and follow-up",Completed checklist with defect references,Passed,"All P0 checks passed after fixes for placeholder department filters and scoped Validate/Ask follow-on service calls. Open follow-ups: optional P1 permissions check, non-blocking chart-size warnings, and pre-existing Gemini suggestion model fallback noise."
